Filenames_filename,Data_group,Data_remarks,Data_plant_id,Data_leaftype,SysObs_obs,SysObs_time,SysObs_elapsed,SysObs_date,SysObs_hhmmss,GasEx_E,GasEx_Emm,GasEx_A,GasEx_Ca,GasEx_Ci,GasEx_gsw,GasEx_TleafCnd,GasEx_RHcham,GasEx_VPcham,GasEx_VPDleaf,FLR_Fv/Fm,FLR_A_dark,FLR_A_fs,FLR_ETR,FLR_NPQ,FLR_Fv'/Fm',LeafQ_Qin,Meas_Pa,Meas_Tair,Meas_Tleaf,Meas_Fan_speed,Meas_CO2_s,Meas_H2O_r,Meas_H2O_s,Meas_CO2_r,f
2023-11-22-1138_logdata,group1,"11:38:27 start, 11:38:28 start",2,Control,6,1668542383,288,2023-11-22,12:59:43,5.0233e-4,0.5023279,2.16455192,313.6702549,177.7898654,0.02713766,31.03151072,68.04075139,2.92829798,1.59119211,0.74251629,NA,2.16455192,31.73086164,0.67832429,0.63211304,700.0374667,88.86034667,30.17612667,29.84598667,4995.83333333333,313.670266666667,32.4363,32.9168933333333,314.2472667,FALSE
2023-11-22-1138_logdata,group2,"11:57:25 control, 11:57:26 control",2,Unheated,2,1668542695,31,2023-11-22,13:04:55,7.3392e-4,0.73392342,1.39657174,314.2155259,249.1790469,0.03986643,31.34359269,68.40002019,3.01331402,1.58720357,0.74251629,NA,1.39657174,37.04566243,0.79585143,0.61623763,700.0005333,88.85851333,30.58383333,30.44859333,4997.5,314.215533333333,33.1499133333333,33.8732333333333,313.5118,FALSE
2023-11-22-1138_logdata,group1,"11:38:27 start, 11:38:28 start",2,Control,5,1668542314,219,2023-11-22,12:58:34,4.8814e-4,0.48813606,5.60324797,335.88437,NA,0.02656043,30.93772976,68.13100533,2.91545078,1.57993464,0.74251629,NA,5.60324797,30.70298746,0.63330517,0.63841299,699.9705333,88.86206,30.07640667,29.74973333,4994.5,335.8844,32.30422,32.7718333333333,332.5186,FALSE
2023-11-22-1138_logdata,group2,"11:57:25 control, 11:57:26 control",2,Unheated,1,1668542664,0,2023-11-22,13:04:24,7.346e-4,0.73460103,2.05399607,344.7342389,253.3974597,0.04026002,31.26280666,68.54422852,3.00583284,1.57358943,0.74251629,NA,2.05399607,35.36033099,0.75217458,0.62204345,700.0063125,88.85878125,30.50356875,30.200575,5001.40625,344.73425,33.07598125,33.789025,349.7480625,FALSE
2023-11-22-1138_logdata,group1,"11:38:27 start, 11:38:28 start",2,Control,4,1668542275,180,2023-11-22,12:57:55,4.7552e-4,0.47552053,NA,338.653111,886.1358664,0.02601321,30.85793463,68.18223527,2.90346653,1.57149728,0.74251629,NA,NA,29.32225072,0.59998581,0.64315715,699.989125,88.86265,29.9915875,29.6269375,4997.1875,338.6530625,32.18746875,32.6373,358.0643125,FALSE
2023-11-22-1138_logdata,group1,"11:38:27 start, 11:38:28 start",2,Control,2,1668542155,60,2023-11-22,12:55:55,4.9624e-4,0.49624366,0.88134794,326.2434953,266.3120216,0.02765862,30.61058569,68.2800613,2.86795303,1.54422048,0.74251629,NA,0.88134794,20.13331814,0.41592313,0.67068982,700.0203125,88.86998125,29.75259375,29.3194625,4998.125,326.2435,31.76714375,32.235625,319.7604375,FALSE
2023-11-29-1146_logdata-heat-level2,group3,"12:17:38 ev2treat, 12:17:39 ev2treat",2,Heated,6,1701285766,276,2023-11-29,12:22:46,8.2157e-4,0.82156953,2.4648926,309.3037369,186.5332019,0.03510762,31.20797375,58.50105777,2.56208444,2.00306758,0.78450529,0.023539104,2.4648926,47.46101184,1.32964508,0.60978321,700.0378125,88.12265,30.48086875,30.218475,4998.4375,309.30375,28.24360625,29.041125,312.1299375,FALSE
2023-11-29-1146_logdata-heat-level2,group3,"12:17:38 ev2treat, 12:17:39 ev2treat",2,Heated,5,1701285714,224,2023-11-29,12:21:54,8.3079e-4,0.83078993,2.64493211,309.3243856,180.9545435,0.03584817,31.13291251,58.71789687,2.56117339,1.98450676,0.78450529,0.023539104,2.64493211,46.08673113,1.30411803,0.61240172,699.9385333,88.12768667,30.41003333,30.14018,5002.5,309.3244,28.2233066666667,29.02914,312.3508,FALSE
2023-11-29-1146_logdata-heat-level2,group3,"12:17:38 ev2treat, 12:17:39 ev2treat",2,Heated,4,1701285654,164,2023-11-29,12:20:54,8.9015e-4,0.89014615,2.93226077,309.4072969,178.7208387,0.03896525,31.05136102,59.0291945,2.56625785,1.95834881,0.78450529,0.023539104,2.93226077,45.3203566,1.24531832,0.61851966,699.9829375,88.12995625,30.35234375,30.0665625,4995.9375,309.4073125,28.18720625,29.08601875,312.4604375,FALSE
2023-11-29-1226_logdata-base-level3,group3,"12:55:04 ev3ref, 12:55:05 ev3ref",1,Control,6,1701288192,340,2023-11-29,13:03:12,0.00195612,1.95612112,4.46272636,337.9707884,243.5220191,0.08724129,32.59746417,61.65181458,3.00080475,1.93815317,0.78450529,0.023539104,4.46272636,47.61583204,1.82863623,0.56274801,699.9706875,87.9978375,32.33851875,31.40113125,4999.84375,337.9708125,32.1149,34.06219375,345.315875,TRUE
2023-11-29-1146_logdata-heat-level2,group3,"12:17:38 ev2treat, 12:17:39 ev2treat",2,Heated,3,1701285590,100,2023-11-29,12:19:50,9.9748e-4,0.99747512,2.9560679,309.3611092,192.9247733,0.04459342,30.94140687,59.45867001,2.5751978700000002,1.92113056,0.78450529,0.023539104,2.9560679,41.66685076,1.15408502,0.62825802,699.95325,88.1316625,30.286525,29.9916375,4994.0625,309.361125,28.19431875,29.18678125,312.682125,FALSE
2023-11-29-1226_logdata-base-level3,group3,"12:55:04 ev3ref, 12:55:05 ev3ref",1,Control,5,1701288125,273,2023-11-29,13:02:05,0.00207176,2.07176068,NA,325.1518123,352.0930813,0.09460509,32.50450682,62.11856267,3.0157873,1.89735688,0.78450529,0.023539104,NA,45.79881606,1.79070969,0.56606669,700.0066667,87.99942,32.29315333,31.29806,5002.33333333333,325.1518,32.16698,34.2316333333333,338.7404,TRUE
2023-11-29-1146_logdata-heat-level2,group3,"12:17:38 ev2treat, 12:17:39 ev2treat",2,Heated,2,1701285539,49,2023-11-29,12:18:59,0.00109469,1.09469431,3.04887441,309.4269173,201.5480687,0.05003276,30.82875761,59.92986913,2.58497977,1.88253709,0.78450529,0.023539104,3.04887441,37.15510446,1.0083716,0.64446406,699.9972,88.13401333,30.21497333,29.87913333,5010.66666666667,309.426933333333,28.2231066666667,29.2969,312.9152,FALSE
2023-11-29-1226_logdata-base-level3,group3,"12:55:04 ev3ref, 12:55:05 ev3ref",1,Control,4,1701288069,217,2023-11-29,13:01:09,0.00209078,2.09078128,4.46557167,324.6226635,239.1004916,0.09704396,32.4428435,62.55884101,3.02794743,1.86813804,0.78450529,0.023539104,4.46557167,43.54031675,1.74679412,0.56995867,700.0023125,88.00195625,32.2393625,31.1806375,5004.53125,324.6226875,32.33376875,34.36868125,331.3795,TRUE
2023-11-29-1146_logdata-heat-level2,group3,"12:17:38 ev2treat, 12:17:39 ev2treat",2,Heated,1,1701285490,0,2023-11-29,12:18:10,0.00109228,1.0922832,2.99768806,309.6242501,204.2884302,0.05047557,30.75707361,60.22752435,2.58679075,1.86247581,0.78450529,0.023539104,2.99768806,26.12971331,0.74591956,0.67586551,700.0139333,88.13630667,30.14081333,29.64068,4989.33333333333,309.624266666667,28.2703,29.31662,312.6223333,FALSE
2023-11-29-1226_logdata-base-level3,group2,"12:49:09 ev3control, 12:49:10 ev3control",1,Unheated,6,1701287638,271,2023-11-29,12:53:58,0.00204399,2.04399424,4.12560758,321.808844,242.4480605,0.09728827,32.20105801,63.04533247,3.00678287,1.82291072,0.78450529,0.023539104,4.12560758,36.43953774,1.56256901,0.58688593,699.9967333,88.00696,31.97836667,31.11654,5008.5,321.808866666667,32.1356933333333,34.12652,325.5534,TRUE
2023-11-29-1226_logdata-base-level3,group3,"12:55:04 ev3ref, 12:55:05 ev3ref",1,Control,3,1701288007,155,2023-11-29,13:00:07,0.00226372,2.26372271,4.56298545,320.1464751,241.0650055,0.10824114,32.31057724,63.01953672,3.0397175,1.81995124,0.78450529,0.023539104,4.56298545,41.22900041,1.6540237,0.5783589,700.0059375,88.00415625,32.17818125,31.04800625,5000.9375,320.1465,32.31886875,34.5014,324.4240625,TRUE
2023-11-29-1226_logdata-base-level3,group1,"12:27:15 ev3ref, 12:27:16 ev3ref, 12:38:43 ev3Treat..., 12:38:44 ev3Treat..., 12:38:47 ev3Treat..., 12:38:48 ev3Treat...",1,Heated,6,1701287186,320,2023-11-29,12:46:26,0.00154353,1.54352717,4.17916611,324.351602,222.510158,0.07372603,31.98070916,63.69455122,2.96514484,1.80472708,0.78450529,0.023539104,4.17916611,39.75783807,1.65707222,0.57807892,699.9686875,88.0133375,31.551725,31.0684375,5002.5,324.351625,32.1603,33.65150625,326.8940625,TRUE
2023-11-29-1226_logdata-base-level3,group3,"12:55:04 ev3ref, 12:55:05 ev3ref",1,Control,2,1701287934,82,2023-11-29,12:58:54,0.00231726,2.31726218,4.0768986,323.3905404,253.7208255,0.11228288,32.22331244,63.20318713,3.03735921,1.7984123,0.78450529,0.023539104,4.0768986,35.78132894,1.48229381,0.59458053,699.9905625,88.00444375,32.1129875,30.8735125,5002.5,323.3905625,32.2399125,34.4745375,327.661625,TRUE
2023-11-29-1226_logdata-base-level3,group2,"12:49:09 ev3control, 12:49:10 ev3control",1,Unheated,5,1701287596,229,2023-11-29,12:53:16,0.00212586,2.12586263,5.49475444,332.614303,235.9034668,0.10372124,32.12206183,63.61753044,3.02631528,1.78185727,0.78450529,0.023539104,5.49475444,34.83478606,1.51693096,0.59123586,700.0059333,88.00985333,31.93315333,31.07995333,5014.66666666667,332.614333333333,32.2336933333333,34.3471,333.2805333,TRUE
2023-11-29-1226_logdata-base-level3,group3,"12:55:04 ev3ref, 12:55:05 ev3ref",1,Control,1,1701287852,0,2023-11-29,12:57:32,0.00235404,2.35404201,4.04405279,331.9795783,264.2153169,0.11554336,32.13163626,63.39343459,3.03334518,1.77743129,0.78450529,0.023539104,4.04405279,20.72045792,1.07544378,0.63690176,699.977,88.0034,32.03648,30.63687333,5004,331.9796,32.1838133333333,34.4293733333333,331.1596667,TRUE
2023-11-29-1226_logdata-base-level3,group2,"12:49:09 ev3control, 12:49:10 ev3control",1,Unheated,4,1701287561,194,2023-11-29,12:52:41,0.00219367,2.19367188,5.1899076,317.2591593,229.2383613,0.10830993,32.04100786,63.73041777,3.02251957,1.76365816,0.78450529,0.023539104,5.1899076,34.5077518,1.47909531,0.5948913,699.997875,88.0109875,31.87969375,30.95098125,4998.125,317.2591875,32.1568375,34.3035625,325.324,TRUE
2023-11-29-1226_logdata-base-level3,group1,"12:27:15 ev3ref, 12:27:16 ev3ref, 12:38:43 ev3Treat..., 12:38:44 ev3Treat..., 12:38:47 ev3Treat..., 12:38:48 ev3Treat...",1,Heated,5,1701287117,251,2023-11-29,12:45:17,0.00169767,1.69767202,NA,340.1869431,348.3838793,0.08333499,31.83353383,64.07272326,2.96856703,1.76170908,0.78450529,0.023539104,NA,39.32380494,1.55038657,0.5880408,700.037375,88.01598125,31.46781875,30.91575625,5000.625,340.1869375,32.0454625,33.68930625,342.7939375,TRUE
2023-11-29-1226_logdata-base-level3,group2,"12:49:09 ev3control, 12:49:10 ev3control",1,Unheated,3,1701287510,143,2023-11-29,12:51:50,0.00228469,2.28468964,3.78971417,319.8060422,256.1136511,0.11520142,31.93547518,64.06826086,3.02683425,1.7308374,0.78450529,0.023539104,3.78971417,31.87179838,1.38431459,0.60424999,699.9864375,88.00951875,31.8115625,30.8337,4991.25,319.8060625,32.13755,34.353075,321.8784375,TRUE
2023-11-29-1226_logdata-base-level3,group1,"12:27:15 ev3ref, 12:27:16 ev3ref, 12:38:43 ev3Treat..., 12:38:44 ev3Treat..., 12:38:47 ev3Treat..., 12:38:48 ev3Treat...",1,Heated,4,1701287037,171,2023-11-29,12:43:57,0.00181873,1.818729,NA,362.6161907,361.0956161,0.09208347,31.70273141,64.66867041,2.982496,1.71282973,0.78450529,0.023539104,NA,31.11807018,1.34333387,0.60838825,699.9564375,88.01951875,31.38729375,30.71800625,5009.84375,362.6161875,32.0590125,33.84605,335.920375,TRUE
2023-11-29-1146_logdata-heat-level2,group2,"12:04:28 ev2cont, 12:04:29 ev2cont",2,Unheated,6,1701285041,285,2023-11-29,12:10:41,0.00135009,1.35009242,4.29172763,310.2329766,199.6468138,0.06830894,30.18471699,62.02733538,2.59376851,1.71209413,0.78450529,0.023539104,4.29172763,49.07825646,1.24246059,0.61882012,700.0480667,88.15173333,29.67538667,29.15507333,5003.83333333333,310.233,28.0590333333333,29.39058,314.98,FALSE
2023-11-29-1146_logdata-heat-level2,group2,"12:04:28 ev2cont, 12:04:29 ev2cont",2,Unheated,5,1701284980,224,2023-11-29,12:09:40,0.00134121,1.34121319,4.28919853,310.6351103,200.8484838,0.0687606,30.0922206,62.35214282,2.59288899,1.69018087,0.78450529,0.023539104,4.28919853,46.4392576,1.21614218,0.62160096,700.004,88.15238,29.57882,29.04670667,4996.16666666667,310.635133333333,28.08886,29.38036,315.1996667,FALSE
2023-11-29-1226_logdata-base-level3,group2,"12:49:09 ev3control, 12:49:10 ev3control",1,Unheated,2,1701287428,61,2023-11-29,12:50:28,0.00240104,2.40104436,2.07999906,321.3603221,284.2301249,0.12503765,31.8015505,64.67385143,3.04059855,1.68111077,0.78450529,0.023539104,2.07999906,26.05314444,1.20002636,0.62331616,699.9784667,88.01183333,31.72565333,30.68696667,4997.16666666667,321.360333333333,32.1388133333333,34.5084,324.8984,TRUE
2023-11-29-1226_logdata-base-level3,group1,"12:27:15 ev3ref, 12:27:16 ev3ref, 12:38:43 ev3Treat..., 12:38:44 ev3Treat..., 12:38:47 ev3Treat..., 12:38:48 ev3Treat...",1,Heated,3,1701286979,113,2023-11-29,12:42:59,0.00189139,1.89138578,5.31684736,386.1870961,286.5760275,0.09815174,31.59928437,65.17715059,2.99333696,1.67450719,0.78450529,0.023539104,5.31684736,34.84891881,1.2454325,0.61850767,700.0281875,88.02309375,31.313375,30.5688625,5001.875,386.187125,32.12795,33.96765625,366.723375,TRUE
2023-11-29-1146_logdata-heat-level2,group2,"12:04:28 ev2cont, 12:04:29 ev2cont",2,Unheated,4,1701284906,150,2023-11-29,12:08:26,0.00133066,1.33066011,4.27515424,311.2050395,202.1680529,0.06900608,30.00172173,62.6110729,2.58946842,1.67140271,0.78450529,0.023539104,4.27515424,43.23690727,1.15103427,0.62858896,700.0035,88.1583625,29.48401875,28.92565,4997.65625,311.2050625,28.03744375,29.33965625,315.7139375,FALSE
2023-11-29-1226_logdata-base-level3,group2,"12:49:09 ev3control, 12:49:10 ev3control",1,Unheated,1,1701287367,0,2023-11-29,12:49:27,0.00238298,2.38298201,NA,521.8078817,697.4187611,0.12613931,31.7246453,65.11218812,3.04657945,1.65458594,0.78450529,0.023539104,NA,26.45295414,0.88587394,0.6587493,700.0194,88.01109333,31.641226670000002,30.5403,4995.33333333333,521.8078,32.321,34.57656,514.7188667,TRUE
2023-11-29-1146_logdata-heat-level2,group2,"12:04:28 ev2cont, 12:04:29 ev2cont",2,Unheated,3,1701284859,103,2023-11-29,12:07:39,0.00139082,1.39081586,4.11372441,311.1954455,211.9998962,0.07365631,29.88014781,63.02175813,2.59194453,1.63926324,0.78450529,0.023539104,4.11372441,40.19337935,1.07924389,0.63647861,700.0141333,88.15793333,29.38724,28.79517333,4998.33333333333,311.195466666667,28.0193933333333,29.36784,315.6055333,FALSE
2023-11-29-1146_logdata-heat-level2,group2,"12:04:28 ev2cont, 12:04:29 ev2cont",2,Unheated,2,1701284811,55,2023-11-29,12:06:51,0.00137551,1.37551312,3.98759836,311.9506042,215.8326851,0.07386241,29.79219817,63.38672629,2.59283053,1.61703038,0.78450529,0.023539104,3.98759836,33.76839856,0.97186513,0.64865609,700.03025,88.16045,29.29311875,28.6110875,5002.34375,311.950625,28.0414125,29.37703125,316.2150625,FALSE
2023-11-29-1146_logdata-heat-level2,group2,"12:04:28 ev2cont, 12:04:29 ev2cont",2,Unheated,1,1701284756,0,2023-11-29,12:05:56,0.00131309,1.31309124,3.38563654,312.5586694,226.9204062,0.07121383,29.68785982,63.66035384,2.58449968,1.60015833,0.78450529,0.023539104,3.38563654,17.2028756,0.68197913,0.6839849,699.9573125,88.16401875,29.16284375,28.34218125,4998.28125,312.5586875,28.0279125,29.28144375,316.023375,FALSE
2023-11-29-1226_logdata-base-level3,group1,"12:27:15 ev3ref, 12:27:16 ev3ref, 12:38:43 ev3Treat..., 12:38:44 ev3Treat..., 12:38:47 ev3Treat..., 12:38:48 ev3Treat...",1,Heated,1,1701286866,0,2023-11-29,12:41:06,0.00213416,2.13415842,NA,361.0431932,1352.338379,0.11752388,31.30932099,66.10915509,3.00347482,1.58808324,0.78450529,0.023539104,NA,20.21963686,0.81615695,0.66716583,699.9834,88.03048667,31.12335333,30.02238,4996.5,361.0428,32.01498,34.0801533333333,434.1949333,TRUE
2023-11-29-1146_logdata-heat-level2,group1,NA,2,Control,6,1701284491,275,2023-11-29,12:01:31,8.8206e-4,0.88205936,2.989579,314.352109,205.9535727,0.04813145,29.42152425,64.2149879,2.54072759,1.58019256,0.78450529,0.023539104,2.989579,37.27190584,1.14496801,0.62924806,700.0343125,88.16909375,28.7179375,28.1255125,4995.15625,314.352125,27.920925,28.783875,317.417875,FALSE
2023-11-29-1146_logdata-heat-level2,group1,NA,2,Control,5,1701284427,211,2023-11-29,12:00:27,8.9657e-4,0.89656911,2.94402231,314.794451,211.805436,0.05007175,29.25728203,64.70282943,2.53669519,1.5453428,0.78450529,0.023539104,2.94402231,36.18727116,1.09332293,0.63491577,699.9887333,88.17434,28.56012,27.96582,5001.33333333333,314.794466666667,27.8721933333333,28.7364666666667,317.9369333,FALSE
2023-11-29-1146_logdata-heat-level2,group1,NA,2,Control,4,1701284361,145,2023-11-29,11:59:21,9.491e-4,0.94909537,2.85244809,315.2025845,222.99773,0.05472521,29.06842985,65.37709614,2.53833683,1.49938858,0.78450529,0.023539104,2.85244809,33.17320229,1.02044766,0.64308928,700.0172,88.17902667,28.39279333,27.79564,5001,315.2026,27.82776,28.7535533333333,318.4068667,FALSE
2023-11-29-1146_logdata-heat-level2,group1,NA,2,Control,3,1701284310,94,2023-11-29,11:58:30,9.2923e-4,0.9292347,2.81997716,315.4878601,224.3168728,0.05468522,28.94051262,65.90477927,2.53862196,1.46932755,0.78450529,0.023539104,2.81997716,29.84762538,0.93176423,0.65332417,699.9788125,88.17903125,28.25649375,27.636775,4999.21875,315.487875,27.84725625,28.75679375,318.5834375,FALSE
2023-11-29-1146_logdata-heat-level2,group1,NA,2,Control,2,1701284258,42,2023-11-29,11:57:38,9.1104e-4,0.91103519,2.72505322,315.959119,227.8374132,0.05477265,28.78444377,66.39669707,2.53332726,1.43855284,0.78450529,0.023539104,2.72505322,23.70115976,0.79627727,0.66960535,699.9966,88.17429333,28.09290667,27.45785333,5001.5,315.959133333333,27.8203666666667,28.6983666666667,318.8038,FALSE
2023-11-29-1146_logdata-heat-level2,group1,NA,2,Control,1,1701284216,0,2023-11-29,11:56:56,8.8705e-4,0.88704672,2.27880006,316.7348628,241.2463159,0.05433024,28.63416446,66.80853017,2.52523451,1.41218206,0.78450529,0.023539104,2.27880006,15.30971127,0.60706783,0.6937491,700.023875,88.16945,27.9319375,27.188125,4993.75,316.734875,27.740075,28.608275,319.025625,FALSE
2023-12-08-1126_logdata-heat-tc_Elev2,group5,"12:48:23 lvl3 trt 3, 12:48:23 lvl3 trt 3",1,Heated,6,1702065329,206,2023-12-08,12:55:29,6.6563e-4,0.66562621,2.43687613,360.9482994,197.7064258,0.02588651,33.0488623,59.34244226,2.87566926,2.19032477,0.76659541,NA,2.43687613,32.31474971,1.66250937,0.55228733,700.011375,88.36520625,32.26030625,31.5754875,4999.0625,360.9483125,31.76774375,32.50621875,362.788875,TRUE
2023-12-08-1126_logdata-heat-tc_Elev2,group5,"12:48:23 lvl3 trt 3, 12:48:23 lvl3 trt 3",1,Heated,5,1702065295,172,2023-12-08,12:54:55,7.376e-4,0.7375962,2.24333725,381.79855,244.3281967,0.029022740000000002,32.95479133,59.48009366,2.87183546,2.16745239,0.76659541,NA,2.24333725,32.78138625,1.60946929,0.55725746,700.0356875,88.36805625,32.19569375,31.41360625,4998.75,381.7985625,31.67576875,32.46185625,389.885,TRUE
2023-12-08-1126_logdata-heat-tc_Elev2,group3,"12:11:02 lvl2 treat, 12:11:03 lvl2 treat",2,Heated,6,1702062996,326,2023-12-08,12:16:36,5.554e-4,0.55540215,2.25166159,340.5643878,165.9374616,0.02204957,31.00678251,54.73268584,2.35489482,2.15822843,0.76659541,NA,2.25166159,39.76495604,1.19235056,0.5996991,699.9975333,88.42571333,30.17125333,29.64127333,4998.16666666667,340.5644,26.0735266666667,26.6012466666667,342.8802667,FALSE
2023-12-08-1126_logdata-heat-tc_Elev2,group6,"12:56:47 lvl3 ref, 12:56:48 lvl3 ref",1,Control,6,1702065805,266,2023-12-08,13:03:25,0.00110108,1.10107604,3.55078164,375.9157932,232.270379,0.04379019,33.13005599,59.70851284,2.93629075,2.15285261,0.76659541,NA,3.55078164,34.32000122,1.57874011,0.56017809,700.0208125,88.37,32.520975,32.1671,5005.625,375.9158125,32.0871375,33.189693750000004,382.1339375,TRUE
2023-12-08-1126_logdata-heat-tc_Elev2,group3,"12:11:02 lvl2 treat, 12:11:03 lvl2 treat",2,Heated,5,1702062931,261,2023-12-08,12:15:31,5.6199e-4,0.56199449,2.10573106,340.8943888,179.3383894,0.02243704,30.95220252,54.83979109,2.35251776,2.14658029,0.76659541,NA,2.10573106,39.06520453,1.1695143,0.60221012,700.0348667,88.42524667,30.11958,29.60324,5001.5,340.8944,26.0174333333333,26.5745533333333,343.1692667,FALSE
2023-12-08-1126_logdata-heat-tc_Elev2,group3,"12:11:02 lvl2 treat, 12:11:03 lvl2 treat",2,Heated,4,1702062849,179,2023-12-08,12:14:09,5.5974e-4,0.55974264,1.99321951,341.1500516,187.4644334,0.02242598,30.90574192,54.88061975,2.34788803,2.13930116,0.76659541,NA,1.99321951,36.65501161,1.13933388,0.60556112,700.0156875,88.42799375,30.07229375,29.54771875,5002.65625,341.1500625,25.972525,26.52141875,343.35725,FALSE
2023-12-08-1126_logdata-heat-tc_Elev2,group6,"12:56:47 lvl3 ref, 12:56:48 lvl3 ref",1,Control,5,1702065771,232,2023-12-08,13:02:51,0.00114807,1.14807237,NA,400.4735195,720.8476004,0.04611201,33.06210244,59.87220291,2.93617325,2.13358944,0.76659541,NA,NA,34.64136812,1.53416508,0.56446951,699.9951333,88.37228667,32.47172,32.0116,4996.16666666667,400.473466666667,32.0529466666667,33.1874533333333,413.8246,TRUE
